stage_ft,Q_cfs,site_no,type
7.14,219169.85,07374000,model
7.15,219424.63,07374000,model
7.16,219679.45,07374000,model
7.17,219934.31,07374000,model
7.18,220189.22,07374000,model
7.19,220444.17,07374000,model
7.2,220699.17,07374000,model
7.21,220954.21,07374000,model
7.22,221209.3,07374000,model
7.23,221464.43,07374000,model
7.24,221719.61,07374000,model
7.25,221974.83,07374000,model
7.26,222230.1,07374000,model
7.27,222485.41,07374000,model
7.28,222740.76,07374000,model
7.29,222996.16,07374000,model
7.3,223251.61,07374000,model
7.31,223507.09,07374000,model
7.32,223762.63,07374000,model
7.33,224018.2,07374000,model
7.34,224273.82,07374000,model
7.35,224529.49,07374000,model
7.36,224785.2,07374000,model
7.37,225040.95,07374000,model
7.38,225296.75,07374000,model
7.39,225552.59,07374000,model
7.4,225808.47,07374000,model
7.41,226064.4,07374000,model
7.42,226320.37,07374000,model
7.43,226576.39,07374000,model
7.44,226832.45,07374000,model
7.45,227088.56,07374000,model
7.46,227344.7,07374000,model
7.47,227600.9,07374000,model
7.48,227857.13,07374000,model
7.49,228113.41,07374000,model
7.5,228369.73,07374000,model
7.51,228626.1,07374000,model
7.52,228877.36,07374000,model
7.53,229128.66,07374000,model
7.54,229380,07374000,model
7.55,229631.37,07374000,model
7.56,229882.78,07374000,model
7.57,230134.22,07374000,model
7.58,230385.71,07374000,model
7.59,230637.23,07374000,model
7.6,230888.78,07374000,model
7.61,231140.38,07374000,model
7.62,231392.01,07374000,model
7.63,231643.67,07374000,model
7.64,231895.38,07374000,model
7.65,232147.12,07374000,model
7.66,232398.89,07374000,model
7.67,232650.71,07374000,model
7.68,232902.56,07374000,model
7.69,233154.44,07374000,model
7.7,233406.37,07374000,model
7.71,233658.33,07374000,model
7.72,233910.32,07374000,model
7.73,234162.35,07374000,model
7.74,234414.42,07374000,model
7.75,234666.53,07374000,model
7.76,234918.67,07374000,model
7.77,235170.85,07374000,model
7.78,235423.06,07374000,model
7.79,235675.31,07374000,model
7.8,235927.6,07374000,model
7.81,236179.92,07374000,model
7.82,236432.28,07374000,model
7.83,236684.68,07374000,model
7.84,236937.11,07374000,model
7.85,237189.58,07374000,model
7.86,237442.08,07374000,model
7.87,237694.62,07374000,model
7.88,237947.19,07374000,model
7.89,238199.81,07374000,model
7.9,238452.45,07374000,model
7.91,238705.14,07374000,model
7.92,238957.86,07374000,model
7.93,239210.61,07374000,model
7.94,239463.4,07374000,model
7.95,239716.23,07374000,model
7.96,239969.09,07374000,model
7.97,240221.99,07374000,model
7.98,240474.92,07374000,model
7.99,240727.89,07374000,model
8,240980.9,07374000,model
8.01,241227.37,07374000,model
8.02,241473.86,07374000,model
8.03,241720.38,07374000,model
8.04,241966.93,07374000,model
8.05,242213.51,07374000,model
8.06,242460.12,07374000,model
8.07,242706.75,07374000,model
8.08,242953.41,07374000,model
8.09,243200.1,07374000,model
8.1,243446.82,07374000,model
8.11,243693.56,07374000,model
8.12,243940.34,07374000,model
8.13,244187.14,07374000,model
8.14,244433.97,07374000,model
8.15,244680.82,07374000,model
8.16,244927.71,07374000,model
8.17,245174.62,07374000,model
8.18,245421.56,07374000,model
8.19,245668.52,07374000,model
8.2,245915.52,07374000,model
8.21,246162.54,07374000,model
8.22,246409.59,07374000,model
8.23,246656.66,07374000,model
8.24,246903.77,07374000,model
8.25,247150.9,07374000,model
8.26,247398.06,07374000,model
8.27,247645.25,07374000,model
8.28,247892.46,07374000,model
8.29,248139.7,07374000,model
8.3,248386.97,07374000,model
8.31,248634.27,07374000,model
8.32,248881.59,07374000,model
8.33,249128.94,07374000,model
8.34,249376.32,07374000,model
8.35,249623.72,07374000,model
8.36,249871.16,07374000,model
8.37,250118.62,07374000,model
8.38,250366.1,07374000,model
8.39,250613.62,07374000,model
8.4,250861.16,07374000,model
8.41,251108.73,07374000,model
8.42,251356.32,07374000,model
8.43,251603.95,07374000,model
8.44,251851.6,07374000,model
8.45,252099.27,07374000,model
8.46,252346.98,07374000,model
8.47,252594.71,07374000,model
8.48,252842.46,07374000,model
8.49,253090.25,07374000,model
8.5,253338.06,07374000,model
8.51,253585.9,07374000,model
8.52,253825.8,07374000,model
8.53,254065.72,07374000,model
8.54,254305.66,07374000,model
8.55,254545.62,07374000,model
8.56,254785.59,07374000,model
8.57,255025.59,07374000,model
8.58,255265.6,07374000,model
8.59,255505.63,07374000,model
8.6,255745.68,07374000,model
8.61,255985.75,07374000,model
8.62,256225.83,07374000,model
8.63,256465.94,07374000,model
8.64,256706.06,07374000,model
8.65,256946.2,07374000,model
8.66,257186.36,07374000,model
8.67,257426.54,07374000,model
8.68,257666.73,07374000,model
8.69,257906.95,07374000,model
8.7,258147.18,07374000,model
8.71,258387.43,07374000,model
8.72,258627.7,07374000,model
8.73,258867.99,07374000,model
8.74,259108.29,07374000,model
8.75,259348.61,07374000,model
8.76,259588.96,07374000,model
8.77,259829.32,07374000,model
8.78,260069.69,07374000,model
8.79,260310.09,07374000,model
8.8,260550.5,07374000,model
8.81,260790.94,07374000,model
8.82,261031.39,07374000,model
8.83,261271.86,07374000,model
8.84,261512.34,07374000,model
8.85,261752.85,07374000,model
8.86,261993.37,07374000,model
8.87,262233.91,07374000,model
8.88,262474.47,07374000,model
8.89,262715.04,07374000,model
8.9,262955.64,07374000,model
8.91,263196.25,07374000,model
8.92,263436.88,07374000,model
8.93,263677.53,07374000,model
8.94,263918.2,07374000,model
8.95,264158.88,07374000,model
8.96,264399.58,07374000,model
8.97,264640.3,07374000,model
8.98,264881.04,07374000,model
8.99,265121.8,07374000,model
9,265362.57,07374000,model
9.01,265603.36,07374000,model
9.02,265844.17,07374000,model
9.03,266085,07374000,model
9.04,266325.84,07374000,model
9.05,266566.71,07374000,model
9.06,266807.59,07374000,model
9.07,267048.48,07374000,model
9.08,267289.4,07374000,model
9.09,267505.8,07374000,model
9.1,267722.19,07374000,model
9.11,267938.58,07374000,model
9.12,268154.96,07374000,model
9.13,268371.34,07374000,model
9.14,268587.72,07374000,model
9.15,268804.09,07374000,model
9.16,269020.46,07374000,model
9.17,269236.82,07374000,model
9.18,269453.18,07374000,model
9.19,269669.54,07374000,model
9.2,269885.89,07374000,model
9.21,270102.24,07374000,model
9.22,270318.59,07374000,model
9.23,270534.93,07374000,model
9.24,270751.26,07374000,model
